machine_code;activation_code;activation_date 
J0892;4318643186;15/01/2015
J0893;9417294172;15/01/2015
J0894;6082760827;15/01/2015
J0895;2310823108;15/01/2015
J0896;5602756027;15/01/2015
J0897;4195241952;15/01/2015
J0922;592546927;15/01/2015
J0923;1726427;15/01/2015
J0924;1336949278;15/01/2015
J0925;1333413664;15/01/2015
J0926;134940360;15/01/2015
J0927;824447287;15/01/2015
J0928;62505594;15/01/2015
J0929;285119956;15/01/2015
J0930;205828026;15/01/2015
J0931;418093933;15/01/2015
J0932;521798732;15/01/2015
J0933;62818199;15/01/2015
J0934;887141961;15/01/2015
J0935;258581276;15/01/2015
J0936;589913776;15/01/2015
J0937;1135922863;15/01/2015
J0938;44905824;15/01/2015
J0939;594819701;15/01/2015
J0940;813811331;15/01/2015
J0941;442338217;15/01/2015
J0942;544929434;15/01/2015
J0943;182889097;15/01/2015
J0944;36796986;15/01/2015
J0945;399715910;15/01/2015
J0946;1314480806;15/01/2015
J0947;1136409219;15/01/2015
J0948;149581211;15/01/2015
J0949;144620712;15/01/2015
J0950;651715550;15/01/2015
J0951;381887558;15/01/2015
J0951;381887558;15/01/2015
J0952;820198201;15/01/2015
J0981;1147361200;15/01/2015
J0982;1105364878;15/01/2015
J0983;1241353183;15/01/2015
J0984;145260708;15/01/2015
J0985;708341139;15/01/2015
J0986;488360191;15/01/2015
J0987;1318844218;15/01/2015
J0988;405050024;15/01/2015
J0989;423070678;15/01/2015
J0990;467962145;15/01/2015
J0991;157636030;15/01/2015
J0992;1220288299;15/01/2015
J0993;678525860;15/01/2015
J0994;672617896;15/01/2015
J0995;324486659;15/01/2015
J0996;280646290;15/01/2015
J0997;797426268;15/01/2015
J0998;368380831;15/01/2015
J0999;227733509;15/01/2015
J1000;1059048651;15/01/2015
J1001;153227293;15/01/2015
J1002;1231801231;15/01/2015
J1003;98302073;15/01/2015
J1004;1256881416;15/01/2015
J1005;808561154;15/01/2015
J1006;356084375;15/01/2015
J1007;14678398;15/01/2015
J1008;1258522390;15/01/2015
J1009;822813749;15/01/2015
J1010;365488514;15/01/2015
J1011;286906559;15/01/2015
J1012;414589030;15/01/2015
J1017;747667901;15/01/2015
J1026;222772991;15/01/2015
J1027;551537234;15/01/2015
J1028;774465237;15/01/2015
J1029;404781558;15/01/2015
J1030;424643173;15/01/2015
J1031;978714802;15/01/2015
J1032;55002112;15/01/2015
J1033;254920163;15/01/2015
J1034;387653403;15/01/2015
J1035;757397774;15/01/2015
J1036;760712711;15/01/2015
J1037;579778065;15/01/2015
J1041;1043019551;15/01/2015
J1042;653674843;15/01/2015
J1043;368375187;15/01/2015
J1044;1333337916;15/01/2015
J1045;182751890;15/01/2015
J1046;706213709;15/01/2015
J1047;1180887920;15/01/2015
J1048;537030370;15/01/2015
J1049;666894735;15/01/2015
J1050;1156820129;15/01/2015
J1051;206962656;15/01/2015
J1052;708832929;15/01/2015
J1053;635917799;15/01/2015
J1054;1350619015;15/01/2015
J1055;326452026;15/01/2015
J1056;925625267;15/01/2015
J1057;1364940324;15/01/2015
J1058;306844675;15/01/2015
J1059;1042251142;15/01/2015
J1060;771554704;15/01/2015
J1120;84788413;15/01/2015
J1121;1403777747;15/01/2015
J1141;734982151;15/01/2015
J1142;7150556;15/01/2015
J1143;731948033;15/01/2015
J1144;821157075;15/01/2015
J1145;490620550;15/01/2015
J1146;848052023;15/01/2015
J1147;1013942432;15/01/2015
J1148;1365525309;15/01/2015
J1149;1255412349;15/01/2015
J1150;461275753;15/01/2015
J1151;461275753;15/01/2015
J1152;688480153;15/01/2015
J1153;296243013;15/01/2015
J1154;646014070;15/01/2015
J1155;781924291;15/01/2015
J1156;230115282;15/01/2015
J1157;1231301217;15/01/2015
J1158;874067389;15/01/2015
J1159;63345291;15/01/2015
J1160;1355637322;15/01/2015
J1161;198717411;15/01/2015
J1162;1275856907;15/01/2015
J1163;44468982;15/01/2015
J1164;651660150;15/01/2015
J1165;47305455;15/01/2015
J1166;599691332;15/01/2015
J1167;65623202;15/01/2015
J1168;913352049;15/01/2015
J1169;810899505;15/01/2015
J1170;867922648;15/01/2015
J1171;68626659;15/01/2015
J1172;66125636;15/01/2015
J1173;396631499;15/01/2015
J1174;215531894;15/01/2015
J1175;1324276654;15/01/2015
J1176;735242791;15/01/2015
J1177;175773365;15/01/2015
J1178;655102213;15/01/2015
J1179;1390314367;15/01/2015
J1180;750691710;15/01/2015
J1181;256419312;15/01/2015
J1182;538204948;15/01/2015
J1183;1253856298;15/01/2015
J1184;155259867;15/01/2015
J1185;48014043;15/01/2015
J1186;202796400;15/01/2015
J1187;120598035;15/01/2015
J1188;234317645;15/01/2015
J1189;401118298;15/01/2015
J1190;249945527;15/01/2015
J1191;640657491;15/01/2015
J1192;398467035;15/01/2015
J1193;1135096872;15/01/2015
J1194;586955837;15/01/2015
J1195;78242189;15/01/2015
J1196;79337643;15/01/2015
J1197;964413182;15/01/2015
J1198;652368496;15/01/2015
J1199;887790096;15/01/2015
J1200;487430245;15/01/2015
J1201;134140780;15/01/2015
J1202;145547912;15/01/2015
J1203;201080767;15/01/2015
J1204;499004361;15/01/2015
J1205;345749091;15/01/2015
J1206;938217075;15/01/2015
J1207;1322345851;15/01/2015
J1208;358249737;15/01/2015
J1209;251003912;15/01/2015
J1210;690726867;15/01/2015
J1211;383171590;15/01/2015
J1212;54507669;15/01/2015
J1213;247095381;15/01/2015
J1214;212707000;15/01/2015
J1215;1382194349;15/01/2015
J1255;420557075;15/01/2015
J1256;244324878;15/01/2015
J1274;195567250;15/01/2015
J1275;1100302874;15/01/2015
J1276;601104933;15/01/2015
J1277;1093039233;15/01/2015
J1278;215298717;15/01/2015
J1279;765096798;15/01/2015
J1280;1241578057;15/01/2015
J1281;1025916651;15/01/2015
J1282;541910621;15/01/2015
J1283;1000674876;15/01/2015
J1284;369523317;15/01/2015
J1285;1173632683;15/01/2015
J1286;356780567;15/01/2015
J1287;299308031;15/01/2015
J1288;544591611;15/01/2015
J1289;1005454726;15/01/2015
J1290;1101218992;15/01/2015
J1291;907763376;15/01/2015
J1292;62027747;15/01/2015
J1293;420469072;15/01/2015
J1294;720083074;15/01/2015
J1295;74520727;15/01/2015
J1296;1000774150;15/01/2015
J1297;645843915;15/01/2015
J1298;784067330;15/01/2015
J1299;502640289;15/01/2015
J1300;232170389;15/01/2015
J1301;1107812046;15/01/2015
J1302;648418052;15/01/2015
J1303;329289443;15/01/2015
J1338;633006043;15/01/2015
J1339;535544665;15/01/2015
J1340;842779564;15/01/2015
J1341;1007481787;15/01/2015
J1342;1007481787;15/01/2015
J1343;1405038520;15/01/2015
J1344;739952451;15/01/2015
J1345;1392089930;15/01/2015
J1346;357828497;15/01/2015
J1347;168081410;15/01/2015
J1348;805420807;15/01/2015
J1349;380630988;15/01/2015
J1350;426935048;15/01/2015
J1351;37496608;15/01/2015
J1352;1362127247;15/01/2015
J1353;151039349;15/01/2015
J1354;343347608;15/01/2015
J1355;1232251505;15/01/2015
J1356;977503800;15/01/2015
J1357;138415421;15/01/2015
J1358;722931946;15/01/2015
J1359;1059005643;15/01/2015
J1360;5068449;15/01/2015
J1361;380118847;15/01/2015
